#,row_id,criterion,tag,evidence,note,agreement
1,(multiple),C2,other-issue,"[run2] **Recurring formatting pattern**: many PRI-derived rows have trailing `?.` (question mark followed by period) in their descriptions (e.g., EXEMPT_GOVT_OFFICIAL_CAPACITY, EXEMPT_GOVT_PARTIAL_RELIEF, PARITY_GOVT_AS_LOBBYIST, PARITY_GOVT_AS_PRINCIPAL, DEF_PUBLIC_ENTITY, RPT_PRINCIPAL_GATE, RPT_PRINCIPAL_CONTACT, RPT_PRINCIPAL_LOBBYIST_NAMES, RPT_PRINCIPAL_LOBBYIST_CONTACT, RPT_PRINCIPAL_BUSINESS_NATURE, RPT_PRINCIPAL_ISSUE_GENERAL, RPT_PRINCIPAL_BILL_SPECIFIC, RPT_PRINCIPAL_CONTACTS_LOGGED, RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS, RPT_LOBBYIST_GATE, RPT_LOBBYIST_CONTACT, RPT_LOBBYIST_PRINCIPAL_NAMES, RPT_LOBBYIST_PRINCIPAL_CONTACT, RPT_LOBBYIST_PRINCIPAL_NATURE, RPT_LOBBYIST_ISSUE_GENERAL, RPT_LOBBYIST_BILL_SPECIFIC, RPT_LOBBYIST_CONTACTS_LOGGED, ~24 PRI-A/B/E rows). Each is a verbatim PRI question ending in `?` plus a `.` period the loader added. Harmless functionally but indicates `compendium/disclosure_items.csv` was generated by appending `.` to PRI item_text without stripping trailing punctuation. Flag for Phase 1 cosmetic-cleanup batch.","single-run flag, run2 only | run2 note: confidence: high; `other-issue` per plan §""churn"" guidance",run2-only
2,ACC_AGGREGATE_TOTALS_BY_DEADLINE,C1,axis-ambiguous-name,[run1] ID 'BY_DEADLINE' is unusual; CPI Q36 is 'Aggregate spending broken down by reporting deadline' (showing aggregate spent in each filing period). The ID could read as 'by missed deadline' or 'by upcoming deadline'.,"single-run flag, run1 only | run1 note: Mild.",run1-only
3,ACC_AGGREGATE_TOTALS_BY_DEADLINE,C2,description-narrower-than-rubric,"[run2] Description `State agency publishes aggregate lobbying spending across all reporting-period deadlines.` matches CPI Q36 (""aggregate spending total by spending-report deadlines""). Ambiguous: is this ""publish aggregate by deadline-period"" (e.g., quarterly cumulative) or ""publish aggregate organized by which deadline produced it""? CPI Q36 is open.","single-run flag, run2 only | run2 note: confidence: low",run2-only
4,ACC_COPIES_COST,C2,description-misscoped,"[run2] Description `Cost the state agency charges per page for paper copies of disclosure documents (a cost barrier to access).` matches CPI Q33 conceptually, but Q33's response options span more than per-page cost (free / by-page / flat-fee). data_type is `numeric` per CSV; description's ""per page"" framing presumes the by-page model.","single-run flag, run2 only | run2 note: confidence: medium",run2-only
5,ACC_CURRENT_YEAR_DATA,C2,description-narrower-than-rubric,"[run2] Description `At least some current lobbying data/information available on the website for the most recent year.` is verbatim PRI Q4. ""Some current data"" admits low-bar interpretation.","single-run flag, run2 only | run2 note: confidence: low",run2-only
6,ACC_DATA_AVAILABLE_AT_ALL,C2,description-misscoped,"[run1] Description: 'At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).' References include sunlight_2015::document_accessibility which Sunlight defines as 'Form Accessibility' (a 4-tier ordinal about whether *forms* — registration/expenditure forms — can be accessed online), not whether *lobbying data* is available. Different scope.","single-run flag, run1 only | run1 note: Sunlight's tier is form-availability",run1-only
7,ACC_DATA_AVAILABLE_AT_ALL,C3,cluster-asks-two-questions,"[run2] framework_references include PRI Q1 (data available in any format/by any channel), FOCAL 3.3 (open license, machine-readable, etc. — much more demanding), Sunlight `document_accessibility` (portal usability ordinal), OpenSecrets `public_lists_baseline`. Cluster spans bare-availability (PRI Q1, easy) to open-data quality (FOCAL 3.3, demanding multi-condition). The description is verbatim PRI Q1, so the cluster has drifted past the description.","single-run flag, run2 only | run2 note: confidence: high",run2-only
8,ACC_DEDICATED_WEBSITE,C2,description-narrower-than-rubric,[run1] Description 'The state has a dedicated website for lobbying information.' covers website-existence question only; cross-refs to Hired Guns Q28+Q29 are about online filing (different question).,"single-run flag, run1 only | run1 note: Compounds with C3 cluster.",run1-only
9,ACC_DEDICATED_WEBSITE,C3,cluster-asks-two-questions,"[run1] 5 cross-refs: PRI Q2 (dedicated lobbying website), FOCAL 3.1 (Lobbyist register is online), Hired Guns Q28 (online registration filing), Hired Guns Q29 (online spending reporting), OpenSecrets public_lists. Q28/Q29 are about *filing online* (lobbyist/employer can submit forms via internet) — narrower/different than 'state has dedicated website for lobbying info'. [run2] framework_references include PRI Q2 (dedicated website), FOCAL 3.1 (lobbyist register is online), Hired Guns Q28+Q29 (online registration *filing* + online spending-report *filing*), OpenSecrets `public_lists`. Cluster mixes ""is there a website?"" with ""do filings happen online?"" — different mechanisms. CPI Q28/Q29 specifically are about *filing* online (input side), while PRI Q2/FOCAL 3.1/OS are about *information availability* (output side).",run1 note: Cluster bundles three distinct concepts: 'website exists' | run2 note: confidence: medium,both
10,ACC_DIARIES_ONLINE,C2,description-narrower-than-rubric,"[run2] Description `Diaries available online (eg, lobbyists, ministers, ministerial staff).` — same Westminster-term translation issue.","single-run flag, run2 only | run2 note: confidence: low",run2-only
